subID->,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,order,subseq
R1,1,4,3,3,3,1,3,3,4,1,4,3,3,1,1,2,2,2,1,4,3,2,3,2,1,3,1,2,1,2,4,3,1,1,3,2,2,2,3,3,2,1,4,2,3,2,4,4,1,2,4,4,3,2,4,2,1,4,4,1,3,3,3,2,2,3,3,4,4,1,1,2,1,2,1,3,2,2,2,3,1,1,4,2,2,3,4,3,3,4,3,2,1,4,2,3,1,
R2,2,1,1,2,4,2,4,1,1,3,3,1,1,2,3,3,1,1,3,1,2,1,1,4,4,4,3,1,3,4,2,4,2,2,1,4,4,1,1,2,1,4,3,4,2,3,1,2,3,3,3,2,4,4,2,4,4,3,3,4,4,2,1,4,3,2,2,2,3,2,4,3,4,3,2,4,1,1,1,2,3,4,2,1,4,2,3,2,1,3,2,3,4,1,4,2,2,
R3,3,2,2,1,1,4,1,2,3,2,1,4,2,4,2,4,3,3,2,3,4,4,4,1,2,2,4,3,2,3,1,2,3,4,4,1,1,3,2,1,3,2,2,3,4,4,2,1,4,1,1,1,1,1,3,1,3,2,2,3,1,1,2,3,1,4,4,3,1,3,2,1,3,4,4,2,4,3,4,1,4,3,1,4,1,4,2,4,2,2,1,4,2,3,1,1,3,
R4,4,3,4,4,2,3,2,4,2,4,2,2,4,3,4,1,4,4,4,2,1,3,2,3,3,1,2,4,4,1,3,1,4,3,2,3,3,4,4,4,4,3,1,1,1,1,3,3,2,4,2,3,2,3,1,3,2,1,1,2,2,4,4,1,4,1,1,1,2,4,3,4,2,1,3,1,3,4,3,4,2,2,3,3,3,1,1,1,4,1,4,1,3,2,3,4,4,
R5,4,1,2,2,3,3,1,3,2,4,2,2,1,3,4,1,4,3,1,3,1,1,2,2,4,4,2,2,4,1,2,1,2,1,4,4,3,2,2,2,2,4,2,4,4,3,2,4,1,3,3,2,4,1,4,3,4,3,2,3,2,2,2,2,1,3,1,1,4,3,2,2,4,3,2,4,4,1,2,4,2,3,2,4,2,3,4,3,3,4,3,3,4,3,1,2,1,
R6,1,2,1,4,1,1,3,4,4,1,1,3,4,4,1,4,1,2,3,1,4,2,3,1,2,1,3,4,1,3,1,2,1,4,3,3,2,3,3,1,1,2,1,2,3,2,4,3,2,1,1,3,3,2,3,1,3,1,4,1,1,4,3,4,3,4,2,3,1,4,4,1,2,4,4,3,1,4,3,3,4,1,3,2,4,4,3,1,2,3,1,2,2,2,2,3,2,
R7,3,3,3,3,4,4,4,2,3,2,3,1,2,2,2,3,3,4,4,2,3,4,1,3,1,3,1,3,2,2,4,4,4,2,1,1,4,4,1,3,3,1,3,1,1,4,3,1,3,4,2,4,1,4,1,2,1,4,1,4,3,1,4,1,2,2,3,2,3,1,3,4,1,2,1,2,2,2,4,2,3,2,4,1,1,2,1,4,1,2,2,1,1,4,4,4,3,
R8,2,4,4,1,2,2,2,1,1,3,4,4,3,1,3,2,2,1,2,4,2,3,4,4,3,2,4,1,3,4,3,3,3,3,2,2,1,1,4,4,4,3,4,3,2,1,1,2,4,2,4,1,2,3,2,4,2,2,3,2,4,3,1,3,4,1,4,4,2,2,1,3,3,1,3,1,3,3,1,1,1,4,1,3,3,1,2,2,4,1,4,4,3,1,3,1,4,
R9,1,3,3,4,2,3,4,2,2,2,2,3,2,1,2,2,3,1,2,3,1,1,4,4,1,1,4,3,4,4,2,2,4,1,3,3,4,1,3,1,3,4,1,3,4,4,2,3,1,4,3,3,1,4,4,4,3,1,2,2,3,4,4,2,2,4,2,1,3,1,3,2,2,4,3,4,1,1,4,1,1,4,3,2,2,2,1,2,1,2,2,3,1,3,2,4,1,
R10,2,4,2,2,3,2,3,4,1,4,1,1,1,2,4,1,1,3,3,2,4,4,3,2,3,3,2,4,2,3,1,1,3,4,1,4,1,3,4,3,2,1,4,2,2,3,3,1,4,2,4,1,4,1,1,2,4,2,4,3,4,3,2,4,4,3,4,4,4,4,2,1,3,3,2,2,2,2,1,3,3,3,1,1,4,4,3,1,2,1,1,2,2,1,3,3,2,
